brand,model,form_factor,wrap_color,ring_color,cell_image_url,cell_data_url,capacity_mah,nominal_voltaje,charging_voltaje,charging_std_ma,charging_max_ma,discharging_cutoff_voltaje,discharging_std_ma,discharging_max_ma,data_ref_url
Sanyo,UR18650RX,18650,Red,Blue,https://secondlifestorage.com/custom/cell_images/ERUryw4.jpg,https://secondlifestorage.com/index.php?threads/celldata.1703/,1950,3.60,4.20,1360,None,2.75,390,20000,https://www.akkuparts24.de/mediafiles//Datenblaetter/Panasonic/Panasonic%20UR18650RX.pdf
Sanyo,UR18650S,18650,Red,Orange,https://secondlifestorage.com/custom/cell_images/wgcCeMI.jpg,https://secondlifestorage.com/index.php?threads/celldata.1713/,1100,3.70,4.20,770,None,2.50,220,None,https://na.industrial.panasonic.com/sites/default/pidsa/files/ur18650s2.pdf
Sanyo,UR18650SA,18650,Red,Brown,https://secondlifestorage.com/custom/cell_images/Tvsc5LZ.jpg,https://secondlifestorage.com/index.php?threads/celldata.1706/,1200,3.70,4.20,840,None,2.50,240,10000,http://www.meircell.co.il/files/Sanyo%20UR18650SA.pdf
Sanyo,UR18650W2,18650,Red,Pink,https://secondlifestorage.com/custom/cell_images/zN4aWWv.jpg,https://secondlifestorage.com/index.php?threads/celldata.1714/,1500,3.70,4.20,1050,None,2.75,300,None,https://www.omnitron.cz/download/datasheet/UR-18650AA.pdf
Sanyo,UR18650WX,18650,Red,Blue (Cyan),https://secondlifestorage.com/custom/cell_images/F5gN8AV.jpg,https://secondlifestorage.com/index.php?threads/celldata.1708/,1500,3.70,4.20,1050,None,2.75,300,10000,https://na.industrial.panasonic.com/sites/default/pidsa/files/ur18650wx4.pdf
Sanyo,UR18650Y,18650,Red,Green (Light),https://secondlifestorage.com/custom/cell_images/n1RUyck.jpg,https://secondlifestorage.com/index.php?threads/celldata.1710/,2000,3.70,4.20,1330,None,2.50,None,None,http://www.hkforceful.com/pdf/4/UR18650Y.pdf
Sanyo,UR18650ZT,18650,Orange,Purple,https://secondlifestorage.com/custom/cell_images/5DdSDfc.jpg,https://secondlifestorage.com/index.php?threads/celldata.1716/,2650,3.70,4.30,1890,None,3.00,530,5300,https://na.industrial.panasonic.com/sites/default/pidsa/files/ur18650zt_0.pdf
Sanyo,UR18650ZTA,18650,Purple,Yellow,https://secondlifestorage.com/custom/cell_images/ur18650zta1.jpg,https://secondlifestorage.com/index.php?threads/celldata.3266/,2900,3.70,4.35,1450,None,3.00,580,5800,https://na.industrial.panasonic.com/sites/default/pidsa/files/ur18650zta.pdf
Sanyo,UR18650ZY,18650,Red,Purple (Light),https://secondlifestorage.com/custom/cell_images/q4dxZRO.jpg,https://secondlifestorage.com/index.php?threads/celldata.1717/,2450,3.70,4.20,1750,None,2.75,490,2450,https://na.industrial.panasonic.com/sites/default/pidsa/files/ur18650zy.pdf
Sinc,CRN18650-2200MAH,18650,Green,None,https://secondlifestorage.com/custom/cell_images/crn18650-2200mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.4828/,2200,None,None,None,None,None,None,None,None
SINC,ISR18650-2600MAH,18650,Pink,Grey (Light),https://secondlifestorage.com/custom/cell_images/sincicr186502600.jpg,https://secondlifestorage.com/index.php?threads/celldata.5244/,2600,None,None,None,None,None,None,None,None
Sony,<delete>,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/7DlNxWD.jpg,https://secondlifestorage.com/index.php?threads/celldata.1689/,None,None,None,None,None,None,None,None,https://www.energy4people.ru/upload/instr_file1549.pdf
Sony,SF US18650V,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/sfus18650v.jpg,https://secondlifestorage.com/index.php?threads/celldata.4719/,None,None,None,None,None,None,None,None,None
Sony,US17670,18650,Blue (Dark),Tan,https://secondlifestorage.com/custom/cell_images/sonyus17670.jpg,https://secondlifestorage.com/index.php?threads/celldata.2104/,None,None,None,None,None,None,None,None,http://www.go-gddq.com/down/2011-09/11092820067934.pdf
Sony,US17670GR (G2),17670,Green,Black,https://secondlifestorage.com/custom/cell_images/us17670grg2.jpg,https://secondlifestorage.com/index.php?threads/celldata.6525/,None,3.60,None,None,None,None,None,None,None
Sony,US18650E,18650,White,Black,https://secondlifestorage.com/custom/cell_images/padeIsW.jpg,https://secondlifestorage.com/index.php?threads/celldata.1700/,None,None,None,None,None,None,None,None,None
Sony,US18650FT,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/sonyus18650ft.jpg,https://secondlifestorage.com/index.php?threads/celldata.4718/,1100,3.20,3.60,1050,None,2.00,220,10000,https://produktinfo.conrad.com/datenblaetter/1400000-1499999/001436404-da-01-en-SONY_18650_LIFEPO4_AKKU_1100MAH.pdf
Sony,US18650GR (G2),18650,Green,Black,https://secondlifestorage.com/custom/cell_images/jtc1eIc.jpg,https://secondlifestorage.com/index.php?threads/celldata.1688/,1600,3.70,4.20,None,None,None,None,None,None
Sony,US18650GR (G3),18650,Green,Black,https://secondlifestorage.com/custom/cell_images/us18650grg31.jpg,https://secondlifestorage.com/index.php?threads/celldata.2338/,1800,3.70,4.20,None,None,None,None,None,None
Sony,US18650GR (G4),18650,Green,Black,https://secondlifestorage.com/custom/cell_images/us18650grg41.jpg,https://secondlifestorage.com/index.php?threads/celldata.2337/,2000,3.70,4.20,None,None,None,None,None,None
